Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-04-17,8.22,10700,0(0.00 %),50,1000000,0,0,10000,10700,10000
2018-04-18,8.22,10700,0(0.00 %),270,3000000,0,0,10700,10700,10700
2018-04-19,8.14,10600,-0.1(-0.93 %),310,3000000,0,0,10700,10700,10500
2018-04-20,8.14,10600,0(0.00 %),0,0,0,0,10600,10600,10600
2018-04-23,7.76,10100,-0.5(-4.72 %),9380,95000000,0,0,10600,10600,10000
2018-04-24,8.3,10800,0.7(6.93 %),450,5000000,0,0,10300,10800,10300
2018-04-26,8.87,11550,0.75(6.94 %),3370,39000000,0,0,10200,11550,10200
2018-04-27,9.37,12200,0.65(5.63 %),2760,32000000,0,0,12200,12200,10900
2018-05-02,9.6,12500,0.3(2.46 %),110,1000000,0,0,12200,12500,12200
2018-05-03,8.95,11650,-0.85(-6.80 %),50,1000000,0,0,11650,11650,11650
2018-05-04,9.22,12000,0.35(3.00 %),400,5000000,0,0,12400,12400,12000
2018-05-07,9.33,12150,0.15(1.25 %),30,0,0,0,12000,12200,12000
2018-05-08,9.56,12450,0.3(2.47 %),80,1000000,0,0,12700,12700,11300
2018-05-09,9.22,12000,-0.45(-3.61 %),9460,117000000,0,0,12400,12400,12000
2018-05-10,9.37,12200,0.2(1.67 %),1210,14000000,0,0,11300,12300,11200
2018-05-11,9.37,12200,0(0.00 %),120,1000000,0,0,11500,12200,11500
2018-05-14,9.37,12200,0(0.00 %),50,1000000,0,0,12200,12200,12000
2018-05-15,9.83,12800,0.6(4.92 %),10530,121000000,0,0,12100,12800,11350
2018-05-16,9.83,12800,0(0.00 %),100,1000000,0,0,12800,12800,12800
2018-05-17,9.76,12700,-0.1(-0.78 %),690,9000000,0,0,11950,12800,11950
2018-05-18,9.76,12700,0(0.00 %),1010,12000000,0,0,12050,12700,11850
2018-05-21,10.03,11800,0.3(2.80 %),1110,13000000,0,0,11800,11800,11800
2018-05-22,10.21,11200,0.2(1.82 %),1100,12000000,0,0,11100,11200,11000
2018-05-23,10.4,11400,0.2(1.79 %),120,1000000,0,0,11200,11400,11200
2018-05-24,10.58,11600,0.2(1.75 %),240,3000000,0,0,11600,11600,11500
2018-05-25,9.99,10950,-0.65(-5.60 %),60,1000000,0,0,11000,11000,10950
2018-05-28,10.03,11000,0.05(0.46 %),100,1000000,0,0,11200,11200,11000
2018-05-29,9.99,10950,-0.05(-0.45 %),100,1000000,0,0,10950,10950,10950
2018-05-30,9.53,10450,-0.5(-4.57 %),280,3000000,0,0,11250,11250,10200
2018-05-31,10.03,11000,0.55(5.26 %),2400,23000000,0,0,10000,11050,9720
2018-06-01,9.35,10250,-0.75(-6.82 %),1070,11000000,0,0,10450,10450,10250
2018-06-04,9.3,10200,-0.05(-0.49 %),940,9000000,0,0,9540,10200,9540
2018-06-05,8.66,9500,-0.7(-6.86 %),100,1000000,0,0,9500,9500,9500
2018-06-06,8.94,9800,0.3(3.16 %),230,2000000,0,0,10000,10000,9800
2018-06-07,9.3,10200,0.4(4.08 %),1120,11000000,0,0,10250,10250,10100
2018-06-08,9.3,10200,0(0.00 %),170,2000000,0,0,10200,10200,10200
2018-06-11,9.3,10200,0(0.00 %),1820,19000000,0,0,10650,10650,10150
